Restaurant_ID,Google_Maps_URL,Restaurant_Name,Rating,Reviews,Price_Range,Category,Address,Status,Opening_Hours,Popularity
R0001,https://www.google.com/maps/place/Hyderabad+Tonight+restaurant/data=!4m7!3m6!1s0x394c7b24fc4f0ad1:0xa789f7a68ff7174a!8m2!3d25.4073363!4d68.330481!16s%2Fg%2F11v0tm9d3r!19sChIJ0QpP_CR7TDkRShf3j6b3iac?authuser=0&hl=en&rclk=1,Hyderabad Tonight restaurant,4.4,720,"Rs 1–5,000",Asian, C84J+W5W,Open, Closes 2 AM,Normal
R0002,https://www.google.com/maps/place/Hyderabad+Darbar/data=!4m7!3m6!1s0x394c775782c60e3d:0x155cdec5a4cbb2ab!8m2!3d25.4326187!4d68.3552246!16s%2Fg%2F11hzzxnfrp!19sChIJPQ7Ggld3TDkRq7LLpMXeXBU?authuser=0&hl=en&rclk=1,Hyderabad Darbar,4.1,1715,,Restaurant, Main Bypass,Open, Closes 1:30 AM,Popular
R0003,https://www.google.com/maps/place/Ridan+House+of+Mandi/data=!4m7!3m6!1s0x394c71e0a0339973:0x203f786713fa57b2!8m2!3d25.3751969!4d68.350964!16s%2Fg%2F11h2fg0q46!19sChIJc5kzoOBxTDkRslf6E2d4PyA?authuser=0&hl=en&rclk=1,Ridan House of Mandi,4.7,6018,,Restaurant, Auto Bahn Rd,Open, Closes 12:30 AM,Popular
R0004,https://www.google.com/maps/place/The+Sicilian/data=!4m7!3m6!1s0x394c710612ab502f:0x9f8a78e51da9c19e!8m2!3d25.3769902!4d68.3376545!16s%2Fg%2F11y2tt2lzn!19sChIJL1CrEgZxTDkRnsGpHeV4ip8?authuser=0&hl=en&rclk=1,The Sicilian,4.7,1023,"Rs 1,000–5,000",Restaurant,3 Auto Bahn Rd ,Open, Closes 2 AM,Popular
R0005,https://www.google.com/maps/place/Hyderabad+Haveli+Restaurant/data=!4m7!3m6!1s0x394c71df05abd461:0xae915b3db6f2af34!8m2!3d25.3752485!4d68.3492998!16s%2Fg%2F11rs9pdyc5!19sChIJYdSrBd9xTDkRNK_ytj1bka4?authuser=0&hl=en&rclk=1,Hyderabad Haveli Restaurant,3.9,811,"Rs 1–6,000",Family-friendly, ,Open, Closes 1 AM,Normal
R0006,https://www.google.com/maps/place/Royal+Taj+Restaurant/data=!4m7!3m6!1s0x394c7088fb650a65:0xdfc631210e568dc0!8m2!3d25.3754377!4d68.3484028!16s%2Fg%2F11xb2mspb!19sChIJZQpl-4hwTDkRwI1WDiExxt8?authuser=0&hl=en&rclk=1,Royal Taj Restaurant,4.1,4379,"Rs 1,000–7,000",Restaurant, Plot #B-1، 98FW+XXW، 10/64 Auto Bahn Rd,Open, Closes 12 AM,Popular
R0007,https://www.google.com/maps/place/Tikka+Jee+House+Restaurant/data=!4m7!3m6!1s0x394c716272d885a7:0x7c8a42b48108f657!8m2!3d25.4148855!4d68.3514488!16s%2Fg%2F11z2w4660c!19sChIJp4XYcmJxTDkRV_YIgbRCinw?authuser=0&hl=en&rclk=1,Tikka Jee House Restaurant,4.4,21,"Rs 2,000–3,000",Restaurant,"Qasim, Rajputana Hospital Rd, Near Daewoo Terminal, chowk ",Open, Closes 3:30 AM,Normal
R0008,https://www.google.com/maps/place/Zamzam+restaurant/data=!4m7!3m6!1s0x394c71c1b3da974b:0x8d2865a18e48185f!8m2!3d25.414637!4d68.3511502!16s%2Fg%2F11lshk10n3!19sChIJS5fas8FxTDkRXxhIjqFlKI0?authuser=0&hl=en&rclk=1,Zamzam restaurant,4.3,159,"Rs 2,000–3,000",Restaurant,Jamshoro Rd ,Open, Closes 3 AM,Normal
R0009,https://www.google.com/maps/place/Marhaba+Restaurant+by+Saad+Memon/data=!4m7!3m6!1s0x394c712eda2022f1:0x591e1bc6fc0e67d0!8m2!3d25.4098125!4d68.3539375!16s%2Fg%2F11pcs3100g!19sChIJ8SIg2i5xTDkR0GcO_MYbHlk?authuser=0&hl=en&rclk=1,Marhaba Restaurant by Saad Memon,3.9,1508,"Rs 1–5,000",Family-friendly, ,Open, Closes 11 PM,Popular
R0010,https://www.google.com/maps/place/Brohi+Balochistan+Bar+B.Q+%26+Restaurant/data=!4m7!3m6!1s0x394c7112b82efd29:0xfdeb49bb7dc57e4a!8m2!3d25.3670215!4d68.3550188!16s%2Fg%2F11fpgdn4mr!19sChIJKf0uuBJxTDkRSn7FfbtJ6_0?authuser=0&hl=en&rclk=1,Brohi Balochistan Bar B.Q & Restaurant,4.3,5704,"Rs 1,000–7,000",Restaurant,"Brohi Restaurant BBQ, C Street ",Open, Closes 3 AM,Popular
R0011,https://www.google.com/maps/place/Grill+Town+Restaurant/data=!4m7!3m6!1s0x394c71a281bbf9e7:0xa3496d3cc461536!8m2!3d25.4018322!4d68.3402806!16s%2Fg%2F11z06185sz!19sChIJ5_m7gaJxTDkRNhVGzNOWNAo?authuser=0&hl=en&rclk=1,Grill Town Restaurant,4.4,48,"Rs 2,000–5,000",Restaurant,"PLOT 142 &143, JAMSHORO ROAD ",Open, Closes 3:30 AM,Normal
R0012,https://www.google.com/maps/place/Da+Vinci+Grill/data=!4m7!3m6!1s0x394c713eaa42e7db:0xd6e69f05c9700264!8m2!3d25.3768824!4d68.3350162!16s%2Fg%2F11yqdvz0yf!19sChIJ2-dCqj5xTDkRZAJwyQWf5tY?authuser=0&hl=en&rclk=1,Da Vinci Grill,4.2,320,"Rs 2,000–6,000",Restaurant,"unit no :3, plot no 7-A, Main Auto Bahn Rd, opp. urban sole ",Open, Closes 1 AM,Normal
R0013,https://www.google.com/maps/place/Akram+Biryani+%26+Qorma+House/data=!4m7!3m6!1s0x394c7193d9ddf3bb:0x285ef011e62960d1!8m2!3d25.3581875!4d68.3576875!16s%2Fg%2F11fcr2_qkx!19sChIJu_Pd2ZNxTDkR0WAp5hHwXig?authuser=0&hl=en&rclk=1,Akram Biryani & Qorma House,4.3,2438,"Rs 1–1,000",Restaurant, ,Open, Closes 1:30 AM,Popular
R0014,https://www.google.com/maps/place/The+Rooftop+Restaurant/data=!4m7!3m6!1s0x394c7089e4e85243:0x1d552621918ef706!8m2!3d25.3729574!4d68.3509002!16s%2Fg%2F11c5s2zrks!19sChIJQ1Lo5IlwTDkRBveOkSEmVR0?authuser=0&hl=en&rclk=1,The Rooftop Restaurant,4.0,1721,"Rs 1,000–5,000",Family-friendly, 99F2+59J,Open, Closes 12 AM,Popular
R0015,https://www.google.com/maps/place/Kababjees+Hyderabad/data=!4m7!3m6!1s0x394c77f6153f5813:0x5fb8aeb81a29fefd!8m2!3d25.4360332!4d68.3582099!16s%2Fg%2F11q9rz97tp!19sChIJE1g_FfZ3TDkR_f4pGriuuF8?authuser=0&hl=en&rclk=1,Kababjees Hyderabad,4.1,1701,"Rs 1,000–6,000",Restaurant, C9P5+J7,Open, Closes 1 AM,Popular
